alpha,calibration_rows_read,clipped_eigenvalues,condition,decision_sets,effective_rank,eligible,entangle,feature_scale,final_test_rows_read,fold_count,gamma,gamma_multiplier,ineligible_folds,kernel_target_alignment_fqk,kernel_target_alignment_q01b,landmarks,layers,maximum_negative_eigenvalue,mean_fold_nrmse,mean_regret_m_s,minimum_eigenvalue_before_clip,model_view,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,pooled_oof_nrmse,pooled_oof_rmse,projection_id,qubits,regularized_condition_number,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
1.0,0,24.6,exact_statevector,7800,15.384917010004688,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549116209603696,0.1889017341484634,256,1,-2.7473436977987033e-15,0.556706526724063,19.31885770643103,-2.7473436977987033e-15,projected,0.7806365933617727,0.6128807273395402,0.9574840027638425,0.10267731784568246,0.6622602036816847,1.5509451889144605,PX-03,8,804.529639186497,6,complete,Q01b,39000,3.151168499956839,,,,,,,,
1.0,0,24.6,exact_statevector,,15.384917010004688,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549116209603696,0.1889017341484634,256,1,-2.7473436977987033e-15,,,-2.7473436977987033e-15,projected,0.7806365933617727,0.6128807273395402,0.9574840027638425,0.10267731784568246,,,PX-03,8,804.529639186497,6,complete,FQK,39000,3.151168499956839,0.7439652266617963,0.11295439613324548,0.8912967898945416,0.08764940239043825,0.1559880123298218,0.26055555555555554,0.09230769230769231,0.10870321010545834
1.0,0,23.8,exact_statevector,7800,15.427996846726344,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490184031797846,0.18899971801043297,256,1,-6.589979130534764e-15,0.5562179032419208,19.30859432380872,-6.589979130534764e-15,projected,0.7806383866632138,0.6128773946080054,0.9574846223725464,0.10267798343455195,0.6614302105572715,1.5490014305004949,PX-03,8,804.5311476245736,7,complete,Q01b,39000,3.1217558000353165,,,,,,,,
1.0,0,23.8,exact_statevector,,15.427996846726344,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490184031797846,0.18899971801043297,256,1,-6.589979130534764e-15,,,-6.589979130534764e-15,projected,0.7806383866632138,0.6128773946080054,0.9574846223725464,0.10267798343455195,,,PX-03,8,804.5311476245736,7,complete,FQK,39000,3.1217558000353165,0.7433154112807878,0.11350415912421408,0.8907173484760691,0.08794573771031576,0.15616801273910674,0.2609297177642501,0.09266666666666666,0.10928265152393093
1.0,0,20.8,exact_statevector,7800,15.42869208015965,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1548997330925268,0.18895660285533217,256,1,-1.7235813900143428e-14,0.5552292300508329,19.339330957763334,-1.7235813900143428e-14,projected,0.7806381812294979,0.6128812849984052,0.9574856863172274,0.10267831385220175,0.6596904024738364,1.544926979156994,PX-03,8,804.5309018344088,8,complete,Q01b,39000,3.20517580001615,,,,,,,,
1.0,0,20.8,exact_statevector,,15.42869208015965,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1548997330925268,0.18895660285533217,256,1,-1.7235813900143428e-14,,,-1.7235813900143428e-14,projected,0.7806381812294979,0.6128812849984052,0.9574856863172274,0.10267831385220175,,,PX-03,8,804.5309018344088,8,complete,FQK,39000,3.20517580001615,0.7434297007632947,0.11338203559862228,0.8908332367597636,0.08778110697705048,0.15617409934658252,0.26108647450110867,0.09251282051282052,0.10916676324023641
1.0,0,20.4,exact_statevector,7800,15.384426006662512,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15491401975924246,0.1888435017438319,256,1,-5.515462465652188e-15,0.558008358304956,19.321413114556027,-5.515462465652188e-15,projected,0.7806357151752398,0.6128780685408424,0.9574827952740546,0.10267722380742603,0.662939854599806,1.552536861365472,PX-03,8,804.5289432583808,9,complete,Q01b,39000,3.14750640001148,,,,,,,,
1.0,0,20.4,exact_statevector,,15.384426006662512,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15491401975924246,0.1888435017438319,256,1,-5.515462465652188e-15,,,-5.515462465652188e-15,projected,0.7806357151752398,0.6128780685408424,0.9574827952740546,0.10267722380742603,,,PX-03,8,804.5289432583808,9,complete,FQK,39000,3.14750640001148,0.7433899539552508,0.11298247438795476,0.8914126781782362,0.08755062395047908,0.15610158563021603,0.260567296996663,0.0922051282051282,0.10858732182176382
1.0,0,24.6,exact_statevector,7800,15.3895041967728,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15491051282736976,0.18884339283791104,256,1,-3.4850893209410942e-15,0.5561423713185221,19.32654131968423,-3.4850893209410942e-15,projected,0.7806368016278216,0.6128808674667561,0.9574795140106108,0.10267697492818821,0.6610642755972338,1.5481444485127946,PX-03,8,804.5297661133022,10,complete,Q01b,39000,3.142619599995669,,,,,,,,
1.0,0,24.6,exact_statevector,,15.3895041967728,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15491051282736976,0.18884339283791104,256,1,-3.4850893209410942e-15,,,-3.4850893209410942e-15,projected,0.7806368016278216,0.6128808674667561,0.9574795140106108,0.10267697492818821,,,PX-03,8,804.5297661133022,10,complete,FQK,39000,3.142619599995669,0.7437688412185477,0.11294361490775534,0.8914126781782362,0.08761647624378519,0.15605241256155378,0.2604224569205114,0.09225641025641025,0.10858732182176382
