category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C03-T13,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.5966281840054106,0.1617853099268203,0.9801831034882373,0.01774719304599783,0.19283716113671742,0.24084507042253522,0.018205128205128204,0.01981689651176266
control,0,C06-T17,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.6624371761280484,0.17889032267349878,0.8681191331556379,0.09495900694741695,0.19001118533200267,0.28294380905022376,0.10312820512820513,0.13188086684436204
control,0,C05-T17-q8,,True,0,5,[],,,control,,,6,complete,FQK,39000,59.15853259997675,0.5769733921973518,0.1672513306592192,0.893151002433654,0.06255967864080866,0.19503070401576386,0.3267186392629341,0.07235897435897436,0.10684899756634604
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,7,complete,Q01b,39000,58.64893170003779,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.5106107135195849,19.28833530107333,control,0.6239217730136427,1.4611605328765898,7,complete,Q01b,39000,58.64893170003779,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.36639339669254956,19.725723795554103,control,0.4424603929598392,1.0361966700268486,7,complete,Q01b,39000,58.64893170003779,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.7818105907559323,0.12382917578275834,0.8655695909143586,0.04724902044713707,0.16250835828722485,0.44701348747591524,0.06653846153846153,0.13443040908564144
