outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV03,10,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.0204638230446642e-14,0
CV03,10,GFRK-06-L010,6,1,True,64,256,0.1,32,-2.3481405789165337e-15,0
CV03,10,GFRK-08-L010,8,1,True,256,256,0.1,26,-2.528176799925301e-15,0
CV03,11,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6907705608384718e-14,0
CV03,11,GFRK-06-L010,6,1,True,64,256,0.1,21,-1.2057098619705288e-15,0
CV03,11,GFRK-08-L010,8,1,True,256,256,0.1,22,-1.939497174773667e-15,0
CV03,12,GFRK-04-L010,4,1,True,16,256,0.1,175,-4.11252503352382e-14,0
CV03,12,GFRK-06-L010,6,1,True,64,256,0.1,31,-1.4490287074750565e-14,0
CV03,12,GFRK-08-L010,8,1,True,256,256,0.1,22,-1.712341370185994e-15,0
CV03,13,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4948217209528494e-14,0
CV03,13,GFRK-06-L010,6,1,True,64,256,0.1,34,-2.4736647177522205e-15,0
CV03,13,GFRK-08-L010,8,1,True,256,256,0.1,24,-4.0881058872960176e-15,0
CV03,14,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.867499627843021e-14,0
CV03,14,GFRK-06-L010,6,1,True,64,256,0.1,32,-2.5775305439912124e-15,0
CV03,14,GFRK-08-L010,8,1,True,256,256,0.1,24,-9.057631285813162e-15,0
CV03,15,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.64911568144163e-14,0
CV03,15,GFRK-06-L010,6,1,True,64,256,0.1,23,-1.8075649478374795e-15,0
CV03,15,GFRK-08-L010,8,1,True,256,256,0.1,31,-1.6909168332813297e-15,0
CV03,16,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6677499403969037e-14,0
CV03,16,GFRK-06-L010,6,1,True,64,256,0.1,26,-1.0492222714311527e-15,0
CV03,16,GFRK-08-L010,8,1,True,256,256,0.1,22,-1.5853876884965892e-15,0
CV03,17,GFRK-04-L010,4,1,True,16,256,0.1,175,-5.300485063494001e-14,0
CV03,17,GFRK-06-L010,6,1,True,64,256,0.1,33,-1.7525647136486994e-15,0
