outer_fold,seed_index,inner_fold,fit_groups,holdout_groups,group_intersection_count,fit_rows,holdout_rows
CV04,4,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,4,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,5,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,5,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,5,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,5,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,6,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,6,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,6,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,6,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,7,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,7,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,7,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,7,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,8,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,8,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,8,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,8,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,9,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,9,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,9,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,9,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,10,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,10,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,10,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,10,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,11,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,11,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,11,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,11,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,12,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,12,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,12,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,12,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,13,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,13,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,13,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,13,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,14,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,14,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,14,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,14,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,15,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,15,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,15,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,15,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,16,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,16,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,16,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,16,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,17,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,17,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,17,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,17,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,18,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,18,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,18,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,18,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,19,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,19,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,19,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,19,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV04,20,1,G01;G02;G03;G04;G08;G09;G11;G12,G05;G06,0,818,206
CV04,20,2,G01;G05;G06;G08;G09;G11;G12,G02;G03;G04,0,728,296
CV04,20,3,G01;G02;G03;G04;G05;G06;G11;G12,G08;G09,0,833,191
CV04,20,4,G02;G03;G04;G05;G06;G08;G09,G01;G11;G12,0,693,331
CV05,1,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,1,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,1,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
