family_id,completed_rung,next_rung,task_status,advancement_error,rank,trial_id,model_family,pooled_oof_nrmse,mean_regret_m_s,complexity_proxy,effective_qubits,selected_for_next_rung,view
A01,128,256,complete,,27,A01-T29,random_fourier_ridge,1.6682667721157287,18.44679327049487,[256],6,False,primary
A01,128,256,complete,,28,A01-T15,random_fourier_ridge,1.671051966250274,18.420235692669873,[128],6,False,primary
A01,128,256,complete,,29,A01-T20,random_fourier_ridge,2.158527485553463,17.65259380001769,[128],6,False,primary
A01,128,256,complete,,30,A01-T14,random_fourier_ridge,3.20300651948776,18.915992881686794,[128],6,False,primary
A01,128,256,complete,,1,A01-T26,random_fourier_ridge,0.7213093517129555,19.247075580623846,[256],8,True,primary
A01,128,256,complete,,2,A01-T04,random_fourier_ridge,0.7425172751561417,18.991586546632693,[128],8,True,primary
A01,128,256,complete,,3,A01-T17,random_fourier_ridge,0.761209791279719,19.597756501310513,[256],8,True,primary
A01,128,256,complete,,4,A01-T12,random_fourier_ridge,0.7684011591166685,18.833468651107435,[256],8,True,primary
A01,128,256,complete,,5,A01-T11,random_fourier_ridge,0.7709408566290467,19.720612274378333,[128],8,True,primary
A01,128,256,complete,,6,A01-T18,random_fourier_ridge,0.7847260955922306,17.299858503590514,[128],8,True,primary
A01,128,256,complete,,7,A01-T03,random_fourier_ridge,0.9027105409157093,20.0,[256],8,True,primary
A01,128,256,complete,,8,A01-T24,random_fourier_ridge,0.9060713760935715,20.0,[128],8,True,primary
A01,128,256,complete,,9,A01-T16,random_fourier_ridge,0.990831927716038,20.0,[128],8,True,primary
A01,128,256,complete,,10,A01-T05,random_fourier_ridge,0.9939842953055147,20.0,[256],8,True,primary
A01,128,256,complete,,11,A01-T07,random_fourier_ridge,1.0035411863632595,19.52657357264308,[128],8,True,primary
A01,128,256,complete,,12,A01-T30,random_fourier_ridge,1.008010625426052,20.0,[128],8,True,primary
A01,128,256,complete,,13,A01-T08,random_fourier_ridge,1.010368804862187,20.0,[256],8,True,primary
A01,128,256,complete,,14,A01-T27,random_fourier_ridge,1.0226553627364867,19.473217807574486,[256],8,True,primary
A01,128,256,complete,,15,A01-T06,random_fourier_ridge,1.0522224069780115,20.0,[256],8,True,primary
A01,128,256,complete,,16,A01-T29,random_fourier_ridge,1.0670707057081616,16.995958201824486,[256],8,False,primary
A01,128,256,complete,,17,A01-T25,random_fourier_ridge,1.0835844671562578,19.997435897435896,[128],8,False,primary
A01,128,256,complete,,18,A01-T13,random_fourier_ridge,1.1123224565160996,19.022362573374235,[256],8,False,primary
A01,128,256,complete,,19,A01-T23,random_fourier_ridge,1.1319425644070216,18.863823578004105,[256],8,False,primary
A01,128,256,complete,,20,A01-T21,random_fourier_ridge,1.1325346534854408,18.895726282320897,[256],8,False,primary
A01,128,256,complete,,21,A01-T19,random_fourier_ridge,1.2069580807260505,19.80303359880859,[256],8,False,primary
A01,128,256,complete,,22,A01-T02,random_fourier_ridge,1.2441100002480552,19.219684066783078,[128],8,False,primary
A01,128,256,complete,,23,A01-T15,random_fourier_ridge,1.2742578820317112,16.855138046254616,[128],8,False,primary
A01,128,256,complete,,24,A01-T10,random_fourier_ridge,1.3208248063533874,19.44561949458013,[256],8,False,primary
A01,128,256,complete,,25,A01-T09,random_fourier_ridge,1.3211122495417482,19.02022143851038,[256],8,False,primary
A01,128,256,complete,,26,A01-T22,random_fourier_ridge,1.421832855882867,19.274414299119105,[128],8,False,primary
A01,128,256,complete,,27,A01-T01,random_fourier_ridge,1.6141006293561693,18.792767777077437,[128],8,False,primary
A01,128,256,complete,,28,A01-T20,random_fourier_ridge,2.0697981148185156,17.586700697607565,[128],8,False,primary
A01,128,256,complete,,29,A01-T28,random_fourier_ridge,2.7630950714614717,19.095075210488204,[128],8,False,primary
A01,128,256,complete,,30,A01-T14,random_fourier_ridge,3.2956706694818245,17.631413982957692,[128],8,False,primary
C05,128,256,complete,,1,C05-T22,multilayer_perceptron,0.6474976035367066,20.0,[192],4,True,compressed_c05
C05,128,256,complete,,2,C05-T07,multilayer_perceptron,0.6922732998833203,17.442287706449488,[32],4,True,compressed_c05
C05,128,256,complete,,3,C05-T30,multilayer_perceptron,0.6957614892575855,16.12090534161782,[32],4,True,compressed_c05
C05,128,256,complete,,4,C05-T17,multilayer_perceptron,0.699391120419252,19.9616237465391,[192],4,True,compressed_c05
C05,128,256,complete,,5,C05-T13,multilayer_perceptron,0.7313981654209332,17.529334953197694,[64],4,True,compressed_c05
C05,128,256,complete,,6,C05-T27,multilayer_perceptron,0.7528897023155646,19.989865644250386,[96],4,True,compressed_c05
C05,128,256,complete,,7,C05-T03,multilayer_perceptron,0.7545509287043872,17.50429795138141,[32],4,True,compressed_c05
C05,128,256,complete,,8,C05-T25,multilayer_perceptron,0.757325132597114,19.88064783929654,[192],4,True,compressed_c05
C05,128,256,complete,,9,C05-T10,multilayer_perceptron,0.7575017887681524,19.50655734381423,[32],4,True,compressed_c05
C05,128,256,complete,,10,C05-T09,multilayer_perceptron,0.7580171886857705,17.398733386638078,[96],4,True,compressed_c05
C05,128,256,complete,,11,C05-T19,multilayer_perceptron,0.7632223590599523,17.174135924633333,[32],4,True,compressed_c05
C05,128,256,complete,,12,C05-T12,multilayer_perceptron,0.7778675699014689,19.771933229087438,[96],4,True,compressed_c05
C05,128,256,complete,,13,C05-T04,multilayer_perceptron,0.7817530724050523,19.905387390924872,[192],4,True,compressed_c05
C05,128,256,complete,,14,C05-T23,multilayer_perceptron,0.7904527767799728,19.196073665981153,[64],4,True,compressed_c05
C05,128,256,complete,,15,C05-T24,multilayer_perceptron,0.7981512892854719,19.646781022948204,[96],4,True,compressed_c05
C05,128,256,complete,,16,C05-T29,multilayer_perceptron,0.8051602393065631,20.0,[96],4,False,compressed_c05
C05,128,256,complete,,17,C05-T02,multilayer_perceptron,0.8283349218797718,19.33728751404667,[64],4,False,compressed_c05
C05,128,256,complete,,18,C05-T15,multilayer_perceptron,0.8449869531911143,19.15988553111,[32],4,False,compressed_c05
C05,128,256,complete,,19,C05-T28,multilayer_perceptron,0.8634669522536706,15.973195432769742,[64],4,False,compressed_c05
C05,128,256,complete,,20,C05-T16,multilayer_perceptron,0.8727347014113672,19.128410375668718,[64],4,False,compressed_c05
C05,128,256,complete,,21,C05-T20,multilayer_perceptron,0.8787905597056435,19.20400601470436,[32],4,False,compressed_c05
C05,128,256,complete,,22,C05-T11,multilayer_perceptron,0.8916386772984031,19.679711322428588,[192],4,False,compressed_c05
C05,128,256,complete,,23,C05-T08,multilayer_perceptron,0.8945468942481246,18.325641025641026,[96],4,False,compressed_c05
C05,128,256,complete,,24,C05-T21,multilayer_perceptron,0.8982517932586236,17.475583144098973,[32],4,False,compressed_c05
C05,128,256,complete,,25,C05-T18,multilayer_perceptron,0.8989194638108093,17.529774934104488,[32],4,False,compressed_c05
C05,128,256,complete,,26,C05-T14,multilayer_perceptron,0.9055766814665654,19.731165314832566,[32],4,False,compressed_c05
C05,128,256,complete,,27,C05-T05,multilayer_perceptron,0.929937681311827,19.67752369610577,[96],4,False,compressed_c05
C05,128,256,complete,,28,C05-T01,multilayer_perceptron,0.9355935507254581,20.0,[192],4,False,compressed_c05
C05,128,256,complete,,29,C05-T06,multilayer_perceptron,0.9544683127180255,19.96153846153846,[64],4,False,compressed_c05
C05,128,256,complete,,30,C05-T26,multilayer_perceptron,0.9654880487634014,17.31207740109154,[192],4,False,compressed_c05
C05,128,256,complete,,1,C05-T27,multilayer_perceptron,0.6603062941728625,17.577680142190257,[96],6,True,compressed_c05
C05,128,256,complete,,2,C05-T09,multilayer_perceptron,0.6625707415473007,19.800333120528336,[96],6,True,compressed_c05
C05,128,256,complete,,3,C05-T29,multilayer_perceptron,0.6739334724946366,18.994376821466794,[96],6,True,compressed_c05
C05,128,256,complete,,4,C05-T17,multilayer_perceptron,0.7049916249273928,19.984702235565766,[192],6,True,compressed_c05
