model_id,fold_id,seed_index,validation_rows,threshold,brier,auroc,recall,precision,false_negative_rate,false_positive_rate,expected_calibration_error,intervention_rate
calibrated_logistic,CV03,6,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,6,9750,0.6848311521114002,0.06730915383142905,0.7949376237119468,0.0,0.0,1.0,0.0,0.14077218765633726,0.0
a02_exact_rbf_feasibility,CV03,6,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,7,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,7,9750,0.6639607591550625,0.06638886524618473,0.826063966650684,0.0,0.0,1.0,0.00010801468999783971,0.1471680388841767,0.00010256410256410256
a02_exact_rbf_feasibility,CV03,7,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,8,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,8,9750,0.7023510351294812,0.07525370714699549,0.7546136762404565,0.0,0.0,1.0,0.0,0.16167215031371246,0.0
a02_exact_rbf_feasibility,CV03,8,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,9,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,9,9750,0.6618872358577298,0.07247188303462812,0.7705415619451075,0.0020325203252032522,1.0,0.9979674796747967,0.0,0.16448318540818369,0.00010256410256410256
a02_exact_rbf_feasibility,CV03,9,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,10,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
class_weighted_tree,CV03,10,9750,0.698033743697736,0.06431933596119963,0.785333976152464,0.0,0.0,1.0,0.0,0.12379572262975237,0.0
a02_exact_rbf_feasibility,CV03,10,9750,0.2336915465218965,0.06465242027698005,0.5213972270960558,0.17886178861788618,0.0757314974182444,0.8211382113821138,0.11600777705767984,0.08071366450317068,0.11917948717948718
calibrated_logistic,CV03,11,9750,0.2918070457233153,0.08021793066471883,0.7975725674301462,0.6036585365853658,0.1590787359400107,0.39634146341463417,0.16958306329660833,0.09946620903967555,0.1914871794871795
