outer_fold,seed_index,q,orthogonalized_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV03,5,4,1.1737880395281675,2.0547447680921294,1.523033247249291,1.3484791239270315,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,5,6,1.2350372459337506,1.6696113256907017,2.110821356389166,1.3793041900750402,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,5,8,1.0919828207157998,1.7023687386367405,1.64694508671025,1.0082731763423478,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,6,4,1.1737839041438944,2.0652488766932797,1.5231250161291252,1.3482286122258818,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,6,6,1.235042240168318,1.669017579448524,2.1085523464255784,1.3829249220849453,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,6,8,1.0917913429013832,1.7036642897471268,1.6920389672896343,1.011911528089489,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,7,4,1.1737467382887925,2.063268071917057,1.5232676681805897,1.3404407821691473,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,7,6,1.2350313799242643,1.6725006828692324,2.1034460347723907,1.3751407696604512,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,7,8,1.0915517558059642,1.7043486660230176,1.6399256534245883,1.0106981884809592,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,8,4,1.1737665500291092,2.0644897147230568,1.524858676216247,1.353074121079299,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,8,6,1.2348134593131466,1.675113676981787,2.1042769450780736,1.3807726570301275,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,8,8,1.092206954168136,1.707129094342114,1.6535955488909655,1.0102756074425097,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,9,4,1.1737911868647535,2.057694105926984,1.5243856718060902,1.3392197875727616,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,9,6,1.2348813179254823,1.6691939426079578,2.090043210309522,1.3803149211566743,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,9,8,1.0921649494218104,1.7097538515308832,1.6425338904598887,1.0230314759271848,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,10,4,1.1737870826347716,2.061447095371201,1.522985277018785,1.3465195664579883,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,10,6,1.2352582370576861,1.675262660559142,2.0910699043822105,1.3866843699643912,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,10,8,1.0918786678256804,1.706412895814687,1.6299349832401182,1.0024181113155366,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,11,4,1.173792804043497,2.0618167955836753,1.5233119935607198,1.3404421666158686,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,11,6,1.2349406570161754,1.6704421151618556,2.0975851654093605,1.3762127910911006,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,11,8,1.0915975752103146,1.7027344915057336,1.6695529315289173,1.0055555544829908,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,12,4,1.1737710916404664,2.0641879666978404,1.5237449954026099,1.3451015781982136,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,12,6,1.23524430241403,1.6747543573932338,2.103064197549425,1.3827082912954858,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,12,8,1.0913929397691817,1.7027367996009246,1.6494116487173724,1.0107752908874739,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,13,4,1.1737804862886196,2.0630604425250554,1.523729448785799,1.3489020898104838,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,13,6,1.235201743989479,1.675249781640709,2.1195951840745386,1.3832014270948085,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,13,8,1.091727437711227,1.7018512521927185,1.6048077025616465,1.0035329037228597,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,14,4,1.1738530506097684,2.067022476289119,1.5235751389066332,1.3518364609382445,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV03,14,6,1.234978496470001,1.6731394053142705,2.1093898621275113,1.379206843627178,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
