outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,candidate_weight,candidate_numerator,candidate_denominator,control_weight,control_numerator,control_denominator,weight_source
CV01,9,8,aggregate,1024,1024,,,,,0,1.0,0.5740307984602703,0.43444534082266517,0.0,-0.13193240326066766,0.0531164498736921,inner_grouped_out_of_fold_training_predictions
CV01,10,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,4,aggregate,1024,1024,,,,,0,1.0,0.8481541916537636,0.7834589290056571,0.7482988890307931,0.022341805267577664,0.02985679331492136,inner_grouped_out_of_fold_training_predictions
CV01,10,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,6,aggregate,1024,1024,,,,,0,1.0,0.43943683097632086,0.2587963017017001,0.0,-0.09271916455223664,0.04458727929632192,inner_grouped_out_of_fold_training_predictions
CV01,10,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
