outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_interaction_norm,control_interaction_norm,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV03,1,6,NIFRK-06-NL,TWO-RBF-06-NL,1.2866046837898673,1.671631232007066,1.5872904557285747,2.6869448298902356,1.1416929363434232,1024,1024,0,same_cross_fitted_c06_residual
CV03,1,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4250948788402,1.7086725320134768,1.7044356346931537,0.37142033571033506,0.5340690451696871,1024,1024,0,same_cross_fitted_c06_residual
CV03,2,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943183975142,2.0632341817138813,2.146910585094984,3.3744426983555895,2.743644905086454,1024,1024,0,same_cross_fitted_c06_residual
CV03,2,6,NIFRK-06-NL,TWO-RBF-06-NL,1.33149532910561,1.6756287045361271,1.5899724579456813,2.6404339460446113,1.137386388507492,1024,1024,0,same_cross_fitted_c06_residual
CV03,2,8,NIFRK-08-NL,TWO-RBF-08-NL,1.3973425978336402,1.7100282343820983,1.7055275810590302,0.264959114138078,0.5437604649893563,1024,1024,0,same_cross_fitted_c06_residual
CV03,3,4,NIFRK-04-NL,TWO-RBF-04-NL,1.74409431810655,2.066323354915692,2.150912599825202,3.374650856997151,2.7380882847917034,1024,1024,0,same_cross_fitted_c06_residual
CV03,3,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3184946729198135,1.671894990407013,1.587733402480192,2.678582409980412,1.1276992782866184,1024,1024,0,same_cross_fitted_c06_residual
CV03,3,8,NIFRK-08-NL,TWO-RBF-08-NL,1.417710008025777,1.7101586722002078,1.7054861234613805,0.3247895971948746,0.5347416259323274,1024,1024,0,same_cross_fitted_c06_residual
CV03,4,4,NIFRK-04-NL,TWO-RBF-04-NL,1.744094318360014,2.062313832394144,2.1454067641476477,3.3762308020227274,2.7464241975272032,1024,1024,0,same_cross_fitted_c06_residual
CV03,4,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3302977221506629,1.6703607137700072,1.5841710300404135,2.6677947604829777,1.1510877129375439,1024,1024,0,same_cross_fitted_c06_residual
CV03,4,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4289774135325557,1.7071330763544543,1.697867973427666,0.4654483580024135,0.5427719054572226,1024,1024,0,same_cross_fitted_c06_residual
CV03,5,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943186164777,2.0589885422814764,2.142445625823442,3.378612435304904,2.7452580358060183,1024,1024,0,same_cross_fitted_c06_residual
CV03,5,6,NIFRK-06-NL,TWO-RBF-06-NL,1.329006165378167,1.668310082186253,1.5874518610736106,2.646845897244321,1.147495797065455,1024,1024,0,same_cross_fitted_c06_residual
CV03,5,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4374380663056803,1.7035141701647183,1.7013873906461847,0.2629072986689882,0.5454696380340582,1024,1024,0,same_cross_fitted_c06_residual
CV03,6,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943183200865,2.0622493567065905,2.1428695654885934,3.376533315943986,2.7445622037198025,1024,1024,0,same_cross_fitted_c06_residual
CV03,6,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3068301501765125,1.6681070275982388,1.579897510828839,2.73037586675841,1.1490009544080722,1024,1024,0,same_cross_fitted_c06_residual
CV03,6,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4379799142528196,1.7046918392946975,1.7057514104876925,0.36504066930770823,0.5432484382407904,1024,1024,0,same_cross_fitted_c06_residual
CV03,7,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943184149245,2.056118031820555,2.1433560530899465,3.375683658686825,2.7442931864382865,1024,1024,0,same_cross_fitted_c06_residual
CV03,7,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3199371054105369,1.675336723978388,1.5922545546231321,2.6615096825516393,1.1325779208659745,1024,1024,0,same_cross_fitted_c06_residual
CV03,7,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4279017937799936,1.7042873205714795,1.702063591655328,0.4409190713422159,0.5283589374399001,1024,1024,0,same_cross_fitted_c06_residual
CV03,8,4,NIFRK-04-NL,TWO-RBF-04-NL,1.744094317954143,2.0626335980428263,2.1483368159581646,3.3724023187556664,2.7365933556565336,1024,1024,0,same_cross_fitted_c06_residual
CV03,8,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3064968631595666,1.6686954985943476,1.5826492879758698,2.5583747423075267,1.1496378254458588,1024,1024,0,same_cross_fitted_c06_residual
CV03,8,8,NIFRK-08-NL,TWO-RBF-08-NL,1.43080360876678,1.7026310202977686,1.6950307217616907,0.4918144424812747,0.5360188369349979,1024,1024,0,same_cross_fitted_c06_residual
CV03,9,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943186856694,2.058660871134406,2.144369315432639,3.3735384498602077,2.732182702716994,1024,1024,0,same_cross_fitted_c06_residual
CV03,9,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3084349735536427,1.6684480453639785,1.5841629347123822,2.722641354685613,1.1492518711154276,1024,1024,0,same_cross_fitted_c06_residual
CV03,9,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4405190275477548,1.7048283284472223,1.7040063164545702,0.26558818271475,0.5400911378017357,1024,1024,0,same_cross_fitted_c06_residual
CV03,10,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943178187205,2.0675004236388874,2.1553472474980526,3.375757468020658,2.7415496953777807,1024,1024,0,same_cross_fitted_c06_residual
CV03,10,6,NIFRK-06-NL,TWO-RBF-06-NL,1.318394650462281,1.6707451765196009,1.5817749295555263,2.558954209547141,1.1274286905284316,1024,1024,0,same_cross_fitted_c06_residual
CV03,10,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4348224412922106,1.703445687407245,1.6971277968761016,0.5924987321196323,0.5478716179634544,1024,1024,0,same_cross_fitted_c06_residual
CV03,11,4,NIFRK-04-NL,TWO-RBF-04-NL,1.744094319017117,2.0624554078976827,2.1469483957397535,3.3781081732616154,2.744052609635629,1024,1024,0,same_cross_fitted_c06_residual
CV03,11,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3106208638876486,1.6710420085992777,1.5887834985455702,2.688851403010096,1.1675812840033504,1024,1024,0,same_cross_fitted_c06_residual
CV03,11,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4423229958160364,1.704751680852406,1.7021758027657834,0.3309101711780709,0.5359301113432152,1024,1024,0,same_cross_fitted_c06_residual
CV03,12,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943185362867,2.0604139476027887,2.1441370635612076,3.3741231631842092,2.7450397450569035,1024,1024,0,same_cross_fitted_c06_residual
CV03,12,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3334622742175024,1.6686498826988168,1.582791247774519,2.59705512753951,1.1401774003236345,1024,1024,0,same_cross_fitted_c06_residual
CV03,12,8,NIFRK-08-NL,TWO-RBF-08-NL,1.421543887667361,1.7080382321569405,1.7009123791500806,0.3383491167850138,0.5570384306627247,1024,1024,0,same_cross_fitted_c06_residual
CV03,13,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943190474536,2.0641500170235525,2.1475969161171027,3.3747416639260583,2.7405200097084483,1024,1024,0,same_cross_fitted_c06_residual
CV03,13,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3308370290428735,1.670671382295727,1.5890689548998636,2.6473750404967795,1.1405882155984057,1024,1024,0,same_cross_fitted_c06_residual
CV03,13,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4418585543657487,1.7093533116877453,1.702908658806951,0.4437082674101,0.5331569091256754,1024,1024,0,same_cross_fitted_c06_residual
CV03,14,4,NIFRK-04-NL,TWO-RBF-04-NL,1.744094318578808,2.064445012423093,2.152422091755078,3.3767047546143854,2.7433997503894934,1024,1024,0,same_cross_fitted_c06_residual
CV03,14,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3216665675197077,1.6694873906505265,1.5836892808363738,2.610264345136003,1.1275714167173998,1024,1024,0,same_cross_fitted_c06_residual
