outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV02,20,EC-GFRK-08-L010,8,1,True,256,256,0.1,19,-2.110497316690565e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.593440878058178e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,EC-GFRK-06-L010,6,1,True,64,256,0.1,19,-1.536735831442577e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,EC-GFRK-08-L010,8,1,True,256,256,0.1,32,-4.076562820411697e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.362091644955478e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,EC-GFRK-06-L010,6,1,True,64,256,0.1,26,-1.500170657091483e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,EC-GFRK-08-L010,8,1,True,256,256,0.1,31,-2.033997382366893e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6888945763966568e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,EC-GFRK-06-L010,6,1,True,64,256,0.1,30,-2.945145231642571e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,EC-GFRK-08-L010,8,1,True,256,256,0.1,27,-4.005466786075036e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.54739447546297e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,EC-GFRK-06-L010,6,1,True,64,256,0.1,23,-1.074636800680425e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,EC-GFRK-08-L010,8,1,True,256,256,0.1,32,-2.1038638803482584e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.78161626775153e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,EC-GFRK-06-L010,6,1,True,64,256,0.1,30,-2.1834670025728167e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,EC-GFRK-08-L010,8,1,True,256,256,0.1,25,-2.9957785637558246e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2917475557404825e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,EC-GFRK-06-L010,6,1,True,64,256,0.1,31,-2.0983499573041514e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,EC-GFRK-08-L010,8,1,True,256,256,0.1,27,-2.063949663897544e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.435833938811873e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,EC-GFRK-06-L010,6,1,True,64,256,0.1,21,-2.9670010727190885e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,EC-GFRK-08-L010,8,1,True,256,256,0.1,33,-2.347458604410384e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4137900183503968e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,EC-GFRK-06-L010,6,1,True,64,256,0.1,22,-2.073104617869904e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,EC-GFRK-08-L010,8,1,True,256,256,0.1,30,-1.9509742421918522e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,9,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.8897443000062304e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,9,EC-GFRK-06-L010,6,1,True,64,256,0.1,30,-2.6597038100986162e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,9,EC-GFRK-08-L010,8,1,True,256,256,0.1,22,-1.6509954727135293e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,10,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5562523244574405e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,10,EC-GFRK-06-L010,6,1,True,64,256,0.1,23,-2.7803324726614943e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,10,EC-GFRK-08-L010,8,1,True,256,256,0.1,34,-2.5569783208168326e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,11,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5339609526643006e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,11,EC-GFRK-06-L010,6,1,True,64,256,0.1,23,-1.3813895445375834e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,11,EC-GFRK-08-L010,8,1,True,256,256,0.1,22,-2.7556424537059497e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,12,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.7388808338275817e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,12,EC-GFRK-06-L010,6,1,True,64,256,0.1,31,-1.9356191435620074e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,12,EC-GFRK-08-L010,8,1,True,256,256,0.1,29,-3.553412987322812e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,13,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-3.4833889269609454e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,13,EC-GFRK-06-L010,6,1,True,64,256,0.1,29,-1.974597607165374e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,13,EC-GFRK-08-L010,8,1,True,256,256,0.1,27,-3.4506690584781768e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,14,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.466834823178157e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,14,EC-GFRK-06-L010,6,1,True,64,256,0.1,22,-1.7273988458510394e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,14,EC-GFRK-08-L010,8,1,True,256,256,0.1,13,-4.260577924108345e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,15,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4294912921812443e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,15,EC-GFRK-06-L010,6,1,True,64,256,0.1,35,-2.3175577793617096e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,15,EC-GFRK-08-L010,8,1,True,256,256,0.1,25,-2.1946718329318208e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,16,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6390855704508227e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,16,EC-GFRK-06-L010,6,1,True,64,256,0.1,28,-3.665652346610161e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,16,EC-GFRK-08-L010,8,1,True,256,256,0.1,23,-2.2686405827311374e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,17,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.415782924688183e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,17,EC-GFRK-06-L010,6,1,True,64,256,0.1,30,-1.945463707360327e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,17,EC-GFRK-08-L010,8,1,True,256,256,0.1,20,-4.1116612849137105e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,18,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.8087498863373205e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,18,EC-GFRK-06-L010,6,1,True,64,256,0.1,31,-5.038634666537074e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,18,EC-GFRK-08-L010,8,1,True,256,256,0.1,23,-3.908243875328824e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,19,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1105039671527689e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,19,EC-GFRK-06-L010,6,1,True,64,256,0.1,30,-2.0550002472411562e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,19,EC-GFRK-08-L010,8,1,True,256,256,0.1,35,-3.0306626550749325e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,20,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-3.630654643659643e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,20,EC-GFRK-06-L010,6,1,True,64,256,0.1,35,-2.555524955747641e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,20,EC-GFRK-08-L010,8,1,True,256,256,0.1,31,-2.422752220518987e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,1,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3328994153739563e-14,cross_fitted_c06_train_outer_c06_validation,0
CV04,1,EC-GFRK-06-L010,6,1,True,64,256,0.1,29,-1.6862151633517086e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,1,EC-GFRK-08-L010,8,1,True,256,256,0.1,27,-2.5856405225650193e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,2,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-9.669994444051538e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,2,EC-GFRK-06-L010,6,1,True,64,256,0.1,22,-1.3594231078707316e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,2,EC-GFRK-08-L010,8,1,True,256,256,0.1,22,-1.4684143513045664e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,3,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.3292951402296715e-14,cross_fitted_c06_train_outer_c06_validation,0
CV04,3,EC-GFRK-06-L010,6,1,True,64,256,0.1,21,-1.0429134576184382e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,3,EC-GFRK-08-L010,8,1,True,256,256,0.1,22,-6.969539225967914e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,4,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5337795801570262e-14,cross_fitted_c06_train_outer_c06_validation,0
CV04,4,EC-GFRK-06-L010,6,1,True,64,256,0.1,20,-1.3257646419300066e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,4,EC-GFRK-08-L010,8,1,True,256,256,0.1,28,-2.0281765059863968e-15,cross_fitted_c06_train_outer_c06_validation,0
