outer_fold,seed_index,q,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,channel_fit_rows,validation_outcomes_used,channel_source
CV02,17,6,1.7237890872000807,1.0180515517749256,1.0881521087235344,1024,0,same_cross_fitted_c06_residual
CV02,17,8,0.5509415978154794,0.7729346878058921,0.7432068610759658,1024,0,same_cross_fitted_c06_residual
CV02,18,4,1.9511369849938354,1.5035954092554105,1.7507053846734726,1024,0,same_cross_fitted_c06_residual
CV02,18,6,1.7175652377278603,1.018280570410534,1.0884158069525214,1024,0,same_cross_fitted_c06_residual
CV02,18,8,0.5588697165506926,0.7723071091067893,0.743789423696451,1024,0,same_cross_fitted_c06_residual
CV02,19,4,1.951136986164662,1.5035119943162703,1.750658866261059,1024,0,same_cross_fitted_c06_residual
CV02,19,6,1.7192059956545322,1.018079238972285,1.087969023171192,1024,0,same_cross_fitted_c06_residual
CV02,19,8,0.5468175445651431,0.7722234210956854,0.7421127396926022,1024,0,same_cross_fitted_c06_residual
CV02,20,4,1.9511369847053643,1.5035787520041866,1.7506610061846481,1024,0,same_cross_fitted_c06_residual
CV02,20,6,1.728507293562291,1.0180689366817475,1.0879344218223044,1024,0,same_cross_fitted_c06_residual
CV02,20,8,0.5749010310963945,0.7727535122124102,0.7436445490633457,1024,0,same_cross_fitted_c06_residual
CV03,1,4,1.7440943184414814,2.065968065372212,2.15093147674869,1024,0,same_cross_fitted_c06_residual
CV03,1,6,1.3080159849849253,1.6689754202803655,1.5830939136311237,1024,0,same_cross_fitted_c06_residual
CV03,1,8,1.4058413942421768,1.7047396469976979,1.6933683907701116,1024,0,same_cross_fitted_c06_residual
CV03,2,4,1.744094317674865,2.0647360936302848,2.1524775544126884,1024,0,same_cross_fitted_c06_residual
CV03,2,6,1.3391425394264922,1.6749167250924872,1.5882809783604313,1024,0,same_cross_fitted_c06_residual
CV03,2,8,1.4332764123539605,1.703650593020831,1.698346945960034,1024,0,same_cross_fitted_c06_residual
CV03,3,4,1.744094318635189,2.0639772701802954,2.1531940344263716,1024,0,same_cross_fitted_c06_residual
CV03,3,6,1.336626779243707,1.6755738001914269,1.5921299590166487,1024,0,same_cross_fitted_c06_residual
CV03,3,8,1.432908511205486,1.7009021339918602,1.6883821007051047,1024,0,same_cross_fitted_c06_residual
CV03,4,4,1.7440943182749098,2.0674672210990854,2.153812261555035,1024,0,same_cross_fitted_c06_residual
CV03,4,6,1.3156186112285146,1.668377016983277,1.578728943065619,1024,0,same_cross_fitted_c06_residual
CV03,4,8,1.4288577518413494,1.7042646346473769,1.6988265233094109,1024,0,same_cross_fitted_c06_residual
CV03,5,4,1.7440943186971578,2.052135805979789,2.1370385466762545,1024,0,same_cross_fitted_c06_residual
CV03,5,6,1.3290704917726324,1.6686357670057559,1.5800119962933188,1024,0,same_cross_fitted_c06_residual
CV03,5,8,1.4455276357417306,1.7032955061323642,1.6963521275685265,1024,0,same_cross_fitted_c06_residual
CV03,6,4,1.7440943176839965,2.056499878602045,2.140362210550372,1024,0,same_cross_fitted_c06_residual
CV03,6,6,1.295789905599986,1.6699118556525323,1.5853670282418073,1024,0,same_cross_fitted_c06_residual
CV03,6,8,1.4071090445384586,1.7043158230088566,1.699104982471342,1024,0,same_cross_fitted_c06_residual
CV03,7,4,1.7440943187898432,2.0625809542706093,2.1440252211680053,1024,0,same_cross_fitted_c06_residual
CV03,7,6,1.3081140163147427,1.674917068639306,1.5864001272564972,1024,0,same_cross_fitted_c06_residual
CV03,7,8,1.4275065944151473,1.7070846784921367,1.6962046318786717,1024,0,same_cross_fitted_c06_residual
CV03,8,4,1.7440943183448478,2.0637285272680894,2.148266787185821,1024,0,same_cross_fitted_c06_residual
CV03,8,6,1.3196303706460282,1.6719697998794472,1.5878847089033643,1024,0,same_cross_fitted_c06_residual
CV03,8,8,1.4259644267384046,1.703430518424523,1.6974038600220902,1024,0,same_cross_fitted_c06_residual
CV03,9,4,1.74409431817717,2.057160234573687,2.1394171116376297,1024,0,same_cross_fitted_c06_residual
CV03,9,6,1.3321728312063876,1.6692116487887425,1.5845266000521285,1024,0,same_cross_fitted_c06_residual
CV03,9,8,1.4358875376322744,1.7006690926514232,1.6921243905660717,1024,0,same_cross_fitted_c06_residual
CV03,10,4,1.744094318175799,2.061584636908989,2.147485504298614,1024,0,same_cross_fitted_c06_residual
CV03,10,6,1.314624938510061,1.6689693247458974,1.586342233879267,1024,0,same_cross_fitted_c06_residual
CV03,10,8,1.4329999508800277,1.7032730465987498,1.6936918504999505,1024,0,same_cross_fitted_c06_residual
