outer_fold,seed_index,grid,candidate_losses,control_losses,candidate_lambda,control_lambda,selection_source,validation_outcomes_used
CV03,2,0.05;0.10;0.15,0.00102232246831855;0.001031178949325579;0.001044480826845722,0.001044551140777284;0.00108490092386335;0.001138960733082831,0.05,0.05,outer_training_inner_oof_only,0
CV03,3,0.05;0.10;0.15,0.001022577419364325;0.001031762632901898;0.001045467024437355,0.001044603202400906;0.001085076398173749;0.001139330971143163,0.05,0.05,outer_training_inner_oof_only,0
CV03,4,0.05;0.10;0.15,0.001022677992132882;0.001031921755804038;0.001045642674838103,0.001044602057677814;0.00108506953522807;0.001139313816475401,0.05,0.05,outer_training_inner_oof_only,0
CV03,5,0.05;0.10;0.15,0.001023531093627078;0.001033599181704298;0.001048115648056293,0.001044725732312656;0.001085324777535721;0.001139708519493828,0.05,0.05,outer_training_inner_oof_only,0
CV03,6,0.05;0.10;0.15,0.001023260381200045;0.001033122843099448;0.001047498769522843,0.001044609662580048;0.001085008209576534;0.001139107024814089,0.05,0.05,outer_training_inner_oof_only,0
CV03,7,0.05;0.10;0.15,0.001023934156659272;0.001034515152589752;0.001049654371616075,0.00104458833020074;0.001085032927654417;0.001139245176185664,0.05,0.05,outer_training_inner_oof_only,0
CV03,8,0.05;0.10;0.15,0.001022414354136536;0.001031370234510011;0.001044779024945061,0.00104451604261397;0.00108489831628058;0.001139058204824463,0.05,0.05,outer_training_inner_oof_only,0
CV03,9,0.05;0.10;0.15,0.00102308496787637;0.001032691531570586;0.001046731074907283,0.001044725889161671;0.001085312716189805;0.001139671864909035,0.05,0.05,outer_training_inner_oof_only,0
CV03,10,0.05;0.10;0.15,0.001022743211889107;0.001032170788899587;0.001046194114856076,0.001044486330327976;0.001084787070415564;0.001138813604087398,0.05,0.05,outer_training_inner_oof_only,0
CV03,11,0.05;0.10;0.15,0.00102235603783787;0.00103126954007493;0.001044651890535814,0.001044576828199782;0.001084963449519143;0.001139071247782715,0.05,0.05,outer_training_inner_oof_only,0
