outer_fold,seed_index,q,common_target_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV02,18,8,0.5957714619372739,0.882062451442481,0.6165508050614428,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,19,4,0.5958445447440758,1.4950304799832383,1.357728901637613,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,19,6,0.5958445447440758,1.9518497827776473,0.9322241452590143,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,19,8,0.5958445447440758,0.8859436132149323,0.6168623909629954,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,20,4,0.5955129919586996,1.4927711922443758,1.3573177588095493,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,20,6,0.5955129919586996,1.9841939130964874,0.9318329852184203,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,20,8,0.5955129919586996,0.8642218102135708,0.6138059637498205,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,1,4,1.0917908420478246,1.4061661034051254,1.6765889763927457,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,1,6,1.0917908420478246,1.7995366623542572,1.0981684843098545,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,1,8,1.0917908420478246,1.6413563808478469,1.0042395733162108,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,2,4,1.0919176898515948,1.4065471630317659,1.6747626787135064,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,2,6,1.0919176898515948,1.7864201049214672,1.1122312843614175,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,2,8,1.0919176898515948,1.6835824866030442,1.0129464040208656,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,3,4,1.0919544349591308,1.4072803726191299,1.6727741090526278,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
