outer_fold,seed_index,fit_rows,candidate_feature_columns,control_feature_columns,stack_ridge,candidate_coefficients,control_coefficients,feature_order,common_target_l2,validation_outcomes_used
CV03,6,1024,4,4,0.001,-0.003508948687534496;-0.6139357994316293;-0.3626231420309775;0.1966172872045671,-0.008361382940326144;-0.5225466413419863;-0.6645580052776631;0.4873347334109262,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0917913429013832,0
CV03,7,1024,4,4,0.001,-0.003491775039894336;-0.6132902062787523;-0.3686271651017751;0.1961147334224744,-0.008299535017968334;-0.525745482917779;-0.6701328608211459;0.4943484190545057,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0915517558059642,0
CV03,8,1024,4,4,0.001,-0.00350901882191141;-0.622943980945479;-0.3416938054197372;0.1886677030688834,-0.008249398597429005;-0.5284384729379108;-0.6620177871253;0.4881031860283414,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.092206954168136,0
CV03,9,1024,4,4,0.001,-0.003449167415831038;-0.6115791267816822;-0.3676783729555242;0.2006467617536082,-0.008256632266268726;-0.5289756123663594;-0.6727545387277014;0.4976510669587716,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0921649494218104,0
CV03,10,1024,4,4,0.001,-0.003382359629776187;-0.6100877035070484;-0.3835955584299314;0.2179048726344225,-0.008268268066518505;-0.531250940951558;-0.6610175857783919;0.4902092230367356,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0918786678256804,0
CV03,11,1024,4,4,0.001,-0.003382037020553679;-0.621920384698903;-0.3639300652207577;0.2124184369951306,-0.008242311438681441;-0.5279005538590344;-0.6690008144842475;0.4949406545690317,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0915975752103146,0
CV03,12,1024,4,4,0.001,-0.003586893018009497;-0.6170383523310853;-0.3594676206178787;0.1942841905991081,-0.008263702298335864;-0.5225059820245538;-0.6684989533916468;0.4923167223618605,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0913929397691817,0
CV03,13,1024,4,4,0.001,-0.003359164172877098;-0.617757162408501;-0.3667332182774124;0.2080519041197871,-0.008261527001629925;-0.5308690383195283;-0.6710806612130358;0.4973906928893436,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.091727437711227,0
CV03,14,1024,4,4,0.001,-0.003269723795323116;-0.6279388461956429;-0.3705836929594022;0.2342628544676145,-0.008331136314820809;-0.5227353903218748;-0.6618351599954359;0.4859419001992126,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0914827448036084,0
CV03,15,1024,4,4,0.001,-0.003437949904427013;-0.6156509410153362;-0.3618591454196024;0.1968139279996118,-0.008274788284882803;-0.5274719475137256;-0.6755079802411981;0.4990303164679014,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0916110922564268,0
CV03,16,1024,4,4,0.001,-0.003553827151267988;-0.6233969361623656;-0.360585479701798;0.2116133404557951,-0.008276163117533352;-0.5259000707858326;-0.6632792108762064;0.4888003003165486,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0910879334139651,0
CV03,17,1024,4,4,0.001,-0.003377458750446067;-0.6198546271578214;-0.337602684167869;0.1732893825555863,-0.008291778627331327;-0.5260061530661699;-0.6703769640430529;0.4956675096750051,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0919528564485406,0
CV03,18,1024,4,4,0.001,-0.003342132351314582;-0.6093896319020766;-0.3472975363572442;0.1679238534261029,-0.008307412843659493;-0.5260536784873516;-0.6690484286970637;0.4925788806936999,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0921994187920172,0
CV03,19,1024,4,4,0.001,-0.003380074158431527;-0.6146870569338065;-0.3747293666125545;0.2160765475610948,-0.008276286351854924;-0.5285836180375794;-0.6595542314258543;0.4864921345448567,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0913897346930246,0
CV03,20,1024,4,4,0.001,-0.003280204452981772;-0.6105405130809948;-0.3516874472421282;0.171783648312207,-0.008232222775846603;-0.5254987269958237;-0.6667965613940642;0.4903899519375615,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0917165889903457,0
CV04,1,1024,4,4,0.001,0.004159075915638185;-0.3904807329278643;-0.1780511699267392;-0.4747616574234254,0.000919626710961107;-0.1986726845334706;-1.422122731638856;0.5830406590970176,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.694733645946715,0
CV04,2,1024,4,4,0.001,0.004052171688273862;-0.3874592562577837;-0.1929603189332449;-0.4599022427948083,0.0009168034034419097;-0.2036474715143004;-1.428521559443835;0.5937143984209534,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6947737285015515,0
CV04,3,1024,4,4,0.001,0.00422486865354797;-0.3889891602780854;-0.1663008394179256;-0.4912625322570291,0.0009477031952426123;-0.1953439866832931;-1.404132679071254;0.5628788305957717,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6946883712107402,0
CV04,4,1024,4,4,0.001,0.004289811722053428;-0.3842162487256394;-0.1538685931908296;-0.5061738798952262,0.0009196689094294998;-0.1969737897250651;-1.400098315606796;0.5603752841263785,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6946482695643288,0
CV04,5,1024,4,4,0.001,0.004136946334273389;-0.3961973832703226;-0.1931036707695468;-0.4533648617730299,0.0009479239844949741;-0.1967165899948254;-1.400872441038013;0.561279139940309,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6947723856587992,0
CV04,6,1024,4,4,0.001,0.004124259364263338;-0.3896646481590619;-0.166263443110405;-0.4839309181848742,0.000961744900892753;-0.1980081449056259;-1.408032688112047;0.5688696374665327,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6946695149349266,0
CV04,7,1024,4,4,0.001,0.00411585582714326;-0.3891422339978184;-0.1952337302398242;-0.4565732630595875,0.0009496398236226493;-0.2055344482462795;-1.435741958469685;0.6035358604294104,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6946947101095996,0
