outer_fold,seed_index,shared_gain,grid,candidate_losses,control_losses,candidate_gain,control_gain,selection_source,validation_outcomes_used
CV04,9,0.1,0.05;0.10;0.15;0.20,0.0003772272810983249;0.0003955147720644709;0.0004149238550612752;0.0004354545300887377,0.0003764450128065468;0.0003939507880962854;0.0004125787080320527;0.0004323287726138489,0.05,0.05,outer_training_inner_oof_only,0
CV04,10,0.1,0.05;0.10;0.15;0.20,0.0003769453154491279;0.0003949479877519863;0.0004140655887800585;0.0004342981185333448,0.0003764166168154076;0.0003938951646174314;0.0004124932152775548;0.0004322107687957781,0.05,0.05,outer_training_inner_oof_only,0
CV04,11,0.1,0.05;0.10;0.15;0.20,0.0003772035000137475;0.0003954754543845361;0.0004148737507265408;0.0004353983890397616,0.0003764348442375112;0.0003939332625097619;0.0004125531424309269;0.0004322944840010063,0.05,0.05,outer_training_inner_oof_only,0
CV04,12,0.1,0.05;0.10;0.15;0.20,0.0003772515892075106;0.0003955773882751894;0.0004150293905272414;0.0004356075959636664,0.0003764413044901031;0.0003939529837727701;0.0004125870311722059;0.0004323434466884104,0.05,0.05,outer_training_inner_oof_only,0
CV04,13,0.1,0.05;0.10;0.15;0.20,0.0003771941105534899;0.000395453862180488;0.0004148403567999943;0.000435353594412009,0.0003764055550862284;0.0003938674405334926;0.0004124467582607928;0.0004321435082681289,0.05,0.05,outer_training_inner_oof_only,0
CV04,14,0.1,0.05;0.10;0.15;0.20,0.00037701221101365;0.0003951009109254733;0.000414312118887395;0.0004346458348994148,0.0003764220178472446;0.0003939186815724253;0.0004125360103274672;0.0004322740041123701,0.05,0.05,outer_training_inner_oof_only,0
CV04,15,0.1,0.05;0.10;0.15;0.20,0.0003770566598568228;0.0003951420773329256;0.0004143398827273148;0.0004346500760399902,0.000376483999766579;0.0003940096966358249;0.0004126607209067438;0.0004324370725793358,0.05,0.05,outer_training_inner_oof_only,0
CV04,16,0.1,0.05;0.10;0.15;0.20,0.0003771716669887919;0.00039540782623271;0.0004147703954398342;0.0004352593746101646,0.0003764349422869793;0.0003939292332495135;0.0004125447905956824;0.0004322816143254862,0.05,0.05,outer_training_inner_oof_only,0
CV04,17,0.1,0.05;0.10;0.15;0.20,0.0003771321885040133;0.000395336239927736;0.0004146688192980116;0.00043512992661484,0.000376448291056172;0.0003939619422903325;0.0004125976187293247;0.0004323553203731486,0.05,0.05,outer_training_inner_oof_only,0
CV04,18,0.1,0.05;0.10;0.15;0.20,0.0003770614499324256;0.0003951782036130833;0.0004144138084674966;0.0004347682644956657,0.0003764471277424751;0.0003939518011915678;0.0004125775677728016;0.0004323244274861769,0.05,0.05,outer_training_inner_oof_only,0
CV04,19,0.1,0.05;0.10;0.15;0.20,0.0003770268805707126;0.0003951126053290178;0.0004143202258290032;0.0004346497420706688,0.0003764442788339966;0.0003939470153482101;0.0004125712610967281;0.0004323170160795509,0.05,0.05,outer_training_inner_oof_only,0
CV04,20,0.1,0.05;0.10;0.15;0.20,0.0003771995080854432;0.0003954506149858054;0.0004148254443894778;0.0004353239962964603,0.0003764555057479955;0.0003939611737982534;0.0004125891278391649;0.0004323393678707301,0.05,0.05,outer_training_inner_oof_only,0
CV05,1,0.1,0.05;0.10;0.15;0.20,0.000829290129995588;0.0008596935355687221;0.000892393206957008;0.0009273891441604459,0.0008345153618937873;0.0008699808812930403;0.0009075795484353647;0.0009473113633207608,0.05,0.05,outer_training_inner_oof_only,0
CV05,2,0.1,0.05;0.10;0.15;0.20,0.0008293642632310897;0.0008598982692507546;0.0008927535423157332;0.0009279300824260254,0.0008346548844025811;0.0008703433664661282;0.0009082169704473788;0.0009482756963463335,0.05,0.05,outer_training_inner_oof_only,0
CV05,3,0.1,0.05;0.10;0.15;0.20,0.0008290069496939374;0.0008591787870847085;0.0008916822992483956;0.0009265174861849987,0.0008346975964805665;0.0008703915603004507;0.0009082486785357347;0.0009482689511864184,0.05,0.05,outer_training_inner_oof_only,0
CV05,4,0.1,0.05;0.10;0.15;0.20,0.0008289254173220592;0.0008589476917432019;0.0008912244677275769;0.0009257557452751841,0.0008347596745033878;0.0008705314382699196;0.0009084729357637443;0.0009485841669848616,0.05,0.05,outer_training_inner_oof_only,0
CV05,5,0.1,0.05;0.10;0.15;0.20,0.0008288678469982533;0.0008589656083246912;0.000891420797253776;0.0009262334137855076,0.0008340186147911932;0.0008689905143235916;0.0009060432118716572;0.0009451767074353898,0.05,0.05,outer_training_inner_oof_only,0
