outer_fold,seed_index,q,eta,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,12,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9806027443340024,0.8632653339378473,1.0680482258531934,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448864082395,0.7049347325350358,0.8832617188393632,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448864082395,0.7049347325350358,0.8832617188393632,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448864082395,0.7049347325350358,0.8832617188393632,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6223217920254667,0.7728121803725011,0.9217965990210844,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6223217920254667,0.7728121803725011,0.9217965990210844,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6223217920254667,0.7728121803725011,0.9217965990210844,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9654402988121111,0.8596487050753955,1.0632987979686677,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9654402988121111,0.8596487050753955,1.0632987979686677,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9654402988121111,0.8596487050753955,1.0632987979686677,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.325444887129711,0.7042968043134741,0.8813018194702544,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.325444887129711,0.7042968043134741,0.8813018194702544,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.325444887129711,0.7042968043134741,0.8813018194702544,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6182660423455273,0.772682287387831,0.9227362254966631,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6182660423455273,0.772682287387831,0.9227362254966631,1024,1024,0,same_cross_fitted_c06_residual
