outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV03,2,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2932110537220441e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,CE-GFRK-06-L010,6,1,True,64,256,0.1,33,-2.9234351996511575e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,CE-GFRK-08-L010,8,1,True,256,256,0.1,31,-5.6436822978169724e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.326601294267594e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,CE-GFRK-06-L010,6,1,True,64,256,0.1,28,-3.9233949425221255e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,CE-GFRK-08-L010,8,1,True,256,256,0.1,27,-3.3911771193604805e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.775823709702833e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,CE-GFRK-06-L010,6,1,True,64,256,0.1,27,-1.869733004388456e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,CE-GFRK-08-L010,8,1,True,256,256,0.1,30,-3.717169418666418e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3969894999564725e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,CE-GFRK-06-L010,6,1,True,64,256,0.1,36,-3.177889755234217e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,CE-GFRK-08-L010,8,1,True,256,256,0.1,31,-3.882196217846786e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3233020855855302e-14,cross_fitted_c06_train_outer_c06_validation,0
