outer_fold,seed_index,validation_rows,eta_min,eta_max,eta_mean,c06_probability_min,c06_probability_max,gate_formula,gate_source,validation_outcomes_used
CV04,19,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV04,20,6500,0.2544723913372279,0.7497219984921561,0.6990112913729438,0.0005560030156877431,0.9910552173255442,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,1,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,2,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,3,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,4,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,5,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,6,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,7,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,8,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,9,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,10,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,11,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,12,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,13,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV05,14,6500,0.36164690735550903,0.7497195188754605,0.7049900901667868,0.0005609622490789944,0.7767061852889819,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
