outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,gate_eta_min,gate_eta_max,gate_eta_mean,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV04,10,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612688474448,0.7933379339569876,0.8307292427189449,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,10,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6537849011471437,0.4650601991723781,0.4699659545271124,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,10,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6837367044342526,0.43001930990574744,0.3593901679811334,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,11,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612689181343,0.7935045128021986,0.8310782164343616,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,11,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6513932521630206,0.4658231547144932,0.47070635246931664,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,11,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6900071834943384,0.4297366638409452,0.35886654273865465,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,12,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.994161269183428,0.7905482536611016,0.8264512980204495,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,12,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.651901894543155,0.4658329058092959,0.4743970836997227,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,12,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6887878638046626,0.42794425430145583,0.35459810735251585,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,13,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612688222823,0.7921442429419951,0.8276117808485799,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,13,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6526321939486579,0.46646583641723655,0.4726842515172838,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,13,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6891207152825418,0.4276637269369062,0.3561365281296437,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,14,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612692225921,0.7933666982954789,0.8308946395745607,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,14,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6525646296509027,0.4667253186222942,0.47448317835287207,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,14,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6910762538666517,0.429977606137077,0.3581924144371098,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,15,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612688026121,0.7931796613199114,0.8301869400515552,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,15,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6518263642967623,0.4654776812933543,0.474502537173659,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,15,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6875448434571024,0.4282013159922818,0.35671897611142817,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,16,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612687727225,0.7919707003189764,0.8277237446809874,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,16,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6517123075175589,0.4636093800205417,0.4689002185747595,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,16,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6882213872961248,0.42966160961447986,0.3568312497600148,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,17,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612688068259,0.7929500633903123,0.8296735284499864,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,17,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6519806303912778,0.4666579112506656,0.4715861869340122,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,17,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.69102992292311,0.42784564575385226,0.3572585297498773,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,18,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612690100874,0.7931865268242901,0.8300421898040522,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,18,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6514005980501122,0.46544548717638895,0.47202908398766735,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,18,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6859053996380755,0.425255956785642,0.3504919029795399,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,19,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612686773098,0.7932142572086648,0.8304949129574306,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,19,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6531860333957522,0.4644664722829317,0.47091840064218293,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,19,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6846908733829072,0.42897887666837964,0.35729703384866013,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,20,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612685450021,0.7911358078603359,0.8270230937887707,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,20,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6517170844553919,0.4662857086069718,0.4709620364882924,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,20,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6878840476480103,0.42854986961662667,0.3573420777333847,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV05,1,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.558180691798074,0.3437953757001937,0.31965623753753436,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,1,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.7622929664292619,0.4214128939954519,0.5470121856636431,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,1,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.9270835098787269,0.4479102027090436,0.5209315788339838,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,2,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.5581806919682328,0.3427779890460238,0.31891396327030136,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,2,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.7634286478643474,0.4221682598184272,0.5460258959051312,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,2,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.9347714283083434,0.4470807564893101,0.51923013269462,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,3,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.5581806920259073,0.3444718556832001,0.3203562310651315,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,3,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.7685072516125167,0.42302026228961986,0.5483232878226685,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
CV05,3,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.9519441848967763,0.44589797880593385,0.5193510293390577,0.36164690735550903,0.7497195188754605,0.7049900901667868,1024,1024,0,same_cross_fitted_c06_residual
