model_id,config_id,fold_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
A02-R-q6,A02-R-q6,CV02,19,9750,0.31041538976842026,0.321171411792342,0.0006060606060606061,0.2,0.34089880703795566,0.06713921329816087,0.028668730134163628,0.060493135751493225,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,20,9750,0.20849165267792377,0.6863142588677472,0.18424242424242424,0.27573696145124715,0.2764186951891155,0.08539459222415523,0.036463854715114985,0.07649470407234098,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,20,9750,0.31041811064325975,0.3211952783650458,0.0006060606060606061,0.2,0.340903657473049,0.0671381778804269,0.028668288006379685,0.06049109128043463,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,1,9750,0.3289671090783944,0.25645785764622975,0.0,0.0,0.31126440762453966,0.09507415788726374,0.04059707049438263,0.08520874276965722,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,1,9750,0.3104279304885577,0.3211598543575288,0.0006060606060606061,0.2,0.3409054083507051,0.06713963248108788,0.02866890912705945,0.060492880794967195,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,2,9750,0.32896866474500935,0.25658007986845194,0.0,0.0,0.3113106205450878,0.09522738539364276,0.04066249929245332,0.0853263117514041,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,2,9750,0.3104154810101015,0.3211809490251351,0.0006060606060606061,0.2,0.3409015569900263,0.0671362960044486,0.02866748443731896,0.060489561454599355,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,3,9750,0.328973123317164,0.25652821235611933,0.0,0.0,0.3112891483801304,0.09511273294165155,0.04061354220696055,0.08522445909752073,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,3,9750,0.3104096361208115,0.3211811839323467,0.0006060606060606061,0.2,0.3409001788982225,0.06713934373947388,0.028668785833160043,0.060492046823721154,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,4,9750,0.3289887933628998,0.2565805261921541,0.0,0.0,0.3114304879678377,0.09484635256196254,0.04049979664988311,0.08506043467605248,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,4,9750,0.3104110330428322,0.3211714587737843,0.0006060606060606061,0.2,0.3409000570516552,0.0671395197990958,0.02866886101136873,0.06049340950024641,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,5,9750,0.3289729337077701,0.2565500587268029,0.0,0.0,0.3112633425724767,0.09501153521529883,0.040570330346641106,0.08520565619947507,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,5,9750,0.31042078235780335,0.3211622034296453,0.0006060606060606061,0.2,0.34090533989769134,0.06714187399129418,0.028669866261467798,0.060496217411481173,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,6,9750,0.3289586196199051,0.25648012684989424,0.0,0.0,0.3112125939476557,0.09510736917070159,0.04061125185391183,0.08523544422876601,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,6,9750,0.3104096053532321,0.32117606295513274,0.0006060606060606061,0.2,0.34089868676956653,0.06713965395238143,0.028668918295393274,0.06049310504903373,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,7,9750,0.32898014103451567,0.25658569415081045,0.0,0.0,0.31133776911850325,0.0951667480247208,0.04063660687756981,0.08526305384915642,20.0,0.0,0.5861538461538461
